flag_id,transaction_id,customer_id,flag_date,flag_category,flagged_amount,investigation_status,loss_amount,detection_method
ACB-RF0000425,ACB-TXN00108120,ACB-C014717,2023-01-17,Transaction Velocity,319.0,Pending,0.0,Rules Engine
ACB-RF0000426,ACB-TXN00108289,ACB-C009188,2025-12-08,Unusual Geography,185.31,False Positive,6.77,Rules Engine
ACB-RF0000427,ACB-TXN00108365,ACB-C003164,2023-08-24,Synthetic Identity,7035.46,Confirmed Fraud,1965.04,Rules Engine
ACB-RF0000428,ACB-TXN00108455,ACB-C013695,2025-09-05,Account Takeover,82.41,Pending,0.0,Rules Engine
ACB-RF0000429,ACB-TXN00108747,ACB-C004421,2025-01-12,Synthetic Identity,708.04,Confirmed Fraud,0.0,Customer Report
ACB-RF0000430,ACB-TXN00108954,ACB-C009009,2023-02-01,Transaction Velocity,200.0,Pending,0.0,Rules Engine
ACB-RF0000431,ACB-TXN00109025,ACB-C003509,2023-05-29,Synthetic Identity,50.6,Pending,9.61,Rules Engine
ACB-RF0000432,ACB-TXN00109284,ACB-C010813,2025-05-13,Card Not Present,974.44,Under Review,209.49,Rules Engine
ACB-RF0000433,ACB-TXN00109676,ACB-C014161,2025-02-25,Identity Theft,581.08,Confirmed Fraud,362.08,Rules Engine
ACB-RF0000434,ACB-TXN00109709,ACB-C006851,2024-07-09,Account Takeover,744.48,False Positive,0.0,Rules Engine
ACB-RF0000435,ACB-TXN00109911,ACB-C007729,2023-03-31,Card Not Present,60.0,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000436,ACB-TXN00109983,ACB-C008690,2024-11-10,Transaction Velocity,798.14,False Positive,644.39,Rules Engine
ACB-RF0000437,ACB-TXN00110113,ACB-C002143,2023-09-14,Card Not Present,14.56,Under Review,0.0,Manual Review
ACB-RF0000438,ACB-TXN00110235,ACB-C007598,2025-10-25,Unusual Geography,90.69,Under Review,0.0,Manual Review
ACB-RF0000439,ACB-TXN00110286,ACB-C000183,2025-07-16,Synthetic Identity,1491.88,False Positive,744.15,Rules Engine
ACB-RF0000440,ACB-TXN00110617,ACB-C009009,2025-09-25,Identity Theft,17199.36,Confirmed Fraud,0.0,Manual Review
ACB-RF0000441,ACB-TXN00110702,ACB-C014053,2025-03-28,Card Not Present,457.65,False Positive,0.0,Rules Engine
ACB-RF0000442,ACB-TXN00110998,ACB-C007243,2024-01-30,Synthetic Identity,552.47,Confirmed Fraud,170.1,Rules Engine
ACB-RF0000443,ACB-TXN00111132,ACB-C008469,2023-07-28,Identity Theft,80.0,Under Review,42.75,Rules Engine
ACB-RF0000444,ACB-TXN00111479,ACB-C013102,2024-05-21,Identity Theft,361.9,False Positive,0.0,Rules Engine
ACB-RF0000445,ACB-TXN00111575,ACB-C003751,2024-03-09,Card Not Present,53.56,Under Review,0.0,Rules Engine
ACB-RF0000446,ACB-TXN00111867,ACB-C008378,2024-05-08,Synthetic Identity,274.53,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000447,ACB-TXN00112414,ACB-C007298,2025-06-20,Transaction Velocity,1517.25,Under Review,1206.22,Rules Engine
ACB-RF0000448,ACB-TXN00112612,ACB-C000548,2023-01-08,Transaction Velocity,106.49,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000449,ACB-TXN00112735,ACB-C000590,2026-02-27,Account Takeover,63.7,Confirmed Fraud,34.98,Rules Engine
ACB-RF0000450,ACB-TXN00112790,ACB-C011118,2024-08-27,Money Laundering Suspicion,12331.52,Confirmed Fraud,1729.62,ML Model
ACB-RF0000451,ACB-TXN00113129,ACB-C000811,2023-11-06,Identity Theft,125.41,Under Review,0.0,Customer Report
ACB-RF0000452,ACB-TXN00113283,ACB-C001887,2023-02-13,Card Not Present,42.27,False Positive,22.01,ML Model
ACB-RF0000453,ACB-TXN00113788,ACB-C008992,2025-05-13,Transaction Velocity,70339.35,False Positive,0.0,Rules Engine
ACB-RF0000454,ACB-TXN00113805,ACB-C010711,2024-04-27,Identity Theft,100.0,Confirmed Fraud,0.0,ML Model
ACB-RF0000455,ACB-TXN00113899,ACB-C004833,2025-07-27,Card Not Present,12434.88,Confirmed Fraud,0.0,ML Model
ACB-RF0000456,ACB-TXN00114188,ACB-C008620,2023-11-14,Money Laundering Suspicion,114.56,Under Review,75.0,Rules Engine
ACB-RF0000457,ACB-TXN00114203,ACB-C014133,2025-09-15,Unusual Geography,1446.26,Under Review,1013.09,ML Model
ACB-RF0000458,ACB-TXN00114237,ACB-C000601,2023-08-02,Unusual Geography,154.75,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000459,ACB-TXN00114595,ACB-C010841,2023-04-16,Account Takeover,8177.87,Confirmed Fraud,6395.34,Rules Engine
ACB-RF0000460,ACB-TXN00114601,ACB-C006753,2024-08-23,Identity Theft,3440.35,Pending,0.0,Manual Review
ACB-RF0000461,ACB-TXN00114603,ACB-C004131,2024-01-29,Transaction Velocity,5617.81,False Positive,0.0,Rules Engine
ACB-RF0000462,ACB-TXN00114723,ACB-C006361,2024-07-20,Unusual Geography,713.53,Pending,0.0,ML Model
ACB-RF0000463,ACB-TXN00114797,ACB-C003820,2025-03-01,Account Takeover,544.91,Confirmed Fraud,289.24,Rules Engine
ACB-RF0000464,ACB-TXN00115531,ACB-C013418,2023-11-06,Synthetic Identity,985.03,Under Review,51.09,Rules Engine
ACB-RF0000465,ACB-TXN00115536,ACB-C007001,2025-12-12,Transaction Velocity,373.75,Confirmed Fraud,169.86,Manual Review
ACB-RF0000466,ACB-TXN00116584,ACB-C011068,2023-10-12,Card Not Present,2297.59,Under Review,0.0,Rules Engine
ACB-RF0000467,ACB-TXN00116852,ACB-C005165,2023-08-30,Account Takeover,186.11,Under Review,0.0,Rules Engine
ACB-RF0000468,ACB-TXN00117366,ACB-C008316,2026-02-10,Account Takeover,27181.17,Under Review,0.0,Rules Engine
ACB-RF0000469,ACB-TXN00117477,ACB-C003804,2025-07-22,Identity Theft,128.45,Confirmed Fraud,0.0,ML Model
ACB-RF0000470,ACB-TXN00117768,ACB-C013311,2025-12-29,Transaction Velocity,29249.3,Confirmed Fraud,0.0,ML Model
ACB-RF0000471,ACB-TXN00118516,ACB-C008250,2023-03-14,Transaction Velocity,1571.93,Under Review,0.0,Rules Engine
ACB-RF0000472,ACB-TXN00118669,ACB-C006778,2025-05-25,Account Takeover,164.15,False Positive,0.0,Rules Engine
ACB-RF0000473,ACB-TXN00118908,ACB-C001991,2024-07-08,Card Not Present,25.81,Confirmed Fraud,3.53,Rules Engine
ACB-RF0000474,ACB-TXN00119072,ACB-C013197,2023-09-22,Transaction Velocity,986.3,False Positive,0.0,Rules Engine
ACB-RF0000475,ACB-TXN00119074,ACB-C014098,2025-08-14,Synthetic Identity,627.4,Confirmed Fraud,0.0,ML Model
ACB-RF0000476,ACB-TXN00119693,ACB-C000495,2024-06-13,Transaction Velocity,410.08,Confirmed Fraud,239.35,Rules Engine
ACB-RF0000477,ACB-TXN00119733,ACB-C003228,2025-01-26,Money Laundering Suspicion,28919.27,False Positive,0.0,Customer Report
